0;2
1;не число
2;не число
3;0
4;1
5;1
6;3
7;3
8;5
9;6
10;8
11;12
12;15
13;18
14;23
15;27
16;32
17;39
18;48
19;53
20;62
21;70
22;80
23;91
24;102
25;116
26;129
27;144
28;162
29;182
30;199
31;218
32;247
33;263
34;280
35;305
36;333
37;371
38;387
39;422
40;453
41;480
42;515
43;562
44;601
45;644
46;689
47;743
48;791
49;840
50;877
51;909
52;965
53;1022
54;1082
55;1143
56;1207
57;1270
58;1336
59;1430
60;1482
61;1552
62;1650
63;1701
64;1777
65;1864
66;1954
67;2053
68;2160
69;2293
70;2357
71;2452
72;2575
73;2683
74;2811
75;2890
76;3033
77;3099
78;3218
79;3335
80;3522
81;3777
82;3841
83;3956
84;4109
85;4290
86;4428
87;4499
88;4634
89;4806
90;4974
91;5098
92;5259
93;5406
94;5636
95;5756
96;6017
97;6213
98;6388
99;6609
